origen,destino,distancia,tiempo,
CV1,c1,2533,2147,
CV1,c2,2730,2327,
CV1,c3,2082,1728,
CV1,c4,2049,1731,
CV1,c5,2972,2513,
CV1,c6,479,393,
CV1,c7,1610,1398,
CV1,c8,3094,2667,
CV1,c9,2344,1995,
CV1,c10,2392,2058,
CV1,c11,3920,3333,
CV1,c12,479,393,
CV1,c13,3052,2635,
CV1,c14,6118,5179,
CV1,c15,4652,3972,
CV1,c16,5428,4613,
CV1,c17,4948,4206,
CV1,c18,5006,4269,
CV1,c19,4117,3513,
CV1,c20,3162,2715,
CV1,c21,1170,983,
CV1,c22,2575,2192,
CV1,c23,2911,2518,
CV1,c24,3416,2930,
CV1,c25,3837,3275,
CV1,c26,2251,1925,
CV1,c27,4924,4206,
CV1,c28,1568,1358,
CV1,c29,1017,882,
CV1,c30,1517,1281,
CV1,c31,861,728,
CV1,c32,1517,1281,
CV1,c33,1426,1218,
CV1,c34,1938,1643,
CV1,c35,4017,3460,
CV1,c36,2607,2205,
CV1,c37,4303,3690,
CV1,c38,6638,5671,
CV1,c39,6904,5840,
CV1,c40,6970,5914,
CV1,c41,4882,4142,
CV1,c42,6402,5438,
CV1,c43,6324,5372,
CV1,c44,5698,4837,
CV1,c45,5365,4547,
CV1,c46,6262,5337,
CV1,c47,7785,6581,
CV1,c48,7826,6596,
CV1,c49,7785,6581,
CV1,c50,6559,5529,
CV1,c51,5706,4880,
CV1,c52,7411,6249,
CV1,c53,7643,6501,
CV1,c54,7453,6354,
CV1,c55,6708,5724,
CV1,c56,5961,5100,
CV1,c57,4829,4122,
CV1,c58,5807,4938,
CV1,c59,4882,4142,
CV1,c60,4829,4122,
CV1,c61,6262,5337,
CV1,c62,4924,4206,
CV1,c63,6476,5526,
CV1,c64,5353,4582,
CV1,c65,4432,3766,
CV1,c66,4794,4056,
CV1,c67,4819,4114,
CV1,c68,4620,3951,
CV1,c69,3421,2954,
CV1,c70,4028,3474,
CV1,c71,5749,4875,
CV1,c72,4376,3768,
CV1,c73,3330,2850,
CV1,c74,6546,5548,
CV1,c75,4794,4056,
CV1,c76,6911,5839,
CV1,c77,6661,5632,
CV1,c78,7239,6176,
CV1,c79,5743,4875,
CV1,c80,5708,4915,
CV1,c81,3582,3094,
CV1,c82,12474,10444,
CV1,c83,13551,11575,
CV1,c84,11888,10260,
CV1,c85,11743,10131,
CV1,c86,11304,9727,
CV1,c87,13551,11575,
CV1,c88,11830,9991,
CV1,c89,13551,11575,
CV1,c90,10869,9100,
CV1,c91,10578,8953,
CV1,c92,7011,5820,
CV1,c93,9042,7770,
CV1,c94,9400,7801,
CV1,c95,8280,6845,
CV1,c96,8272,6887,
CV1,c97,11454,9949,
CV1,c98,10210,8599,
CV1,c99,12430,10836,
CV1,c100,11920,10081,
CV1,c101,11812,10041,
CV1,c102,11076,9517,
CV1,c103,10903,9158,
CV1,c104,11289,9526,
CV1,c105,11646,9832,
CV1,c106,11446,9805,
CV1,c107,10797,9064,
CV1,c108,11991,10206,
CV1,c109,10160,8836,
CV1,c110,10365,8927,
CV1,c111,10270,8827,
CV1,c112,14409,11991,
CV1,c113,9817,8455,
CV1,c114,9949,8224,
CV1,c115,11064,9342,
CV1,c116,8306,7193,
CV1,c117,7906,6570,
CV1,c118,7052,5910,
CV1,c119,7138,5955,
CV1,c120,8930,7670,
CV1,c121,9561,8256,
CV1,c122,9625,8291,
CV1,c123,9722,8366,
CV1,c124,8306,7193,
CV1,c125,8316,7192,
CV1,c126,8306,7193,
CV1,c127,7605,6595,
CV1,c128,12001,10128,
CV1,c129,12975,10957,
CV1,c130,9167,7694,
CV1,c131,6999,5813,
CV1,c132,7595,6313,
CV1,c133,17053,14721,
CV1,c134,7420,6167,
CV1,c135,6624,5516,
CV1,c136,6360,5273,
CV1,c137,6201,5150,
CV1,c138,8248,6849,
CV1,c139,10465,9035,
CV1,c140,7988,6737,
CV1,c141,8384,6966,
CV1,c142,10262,8522,
CV1,c143,9624,8069,
CV1,c144,10023,8492,
CV1,c145,10135,8503,
CV1,c146,9637,8158,
CV1,c147,12688,10809,
CV1,c148,8022,6776,
CV1,c149,7960,6623,
CV1,c150,11393,9865,
CV1,c151,6701,5618,
CV1,c152,10900,9448,
CV1,c153,10564,9127,
CV1,c154,7163,6035,
CV1,c155,10248,8858,
CV1,c156,9841,8515,
CV1,c157,9302,8059,
CV1,c158,9881,8547,
CV1,c159,7344,6191,
CV1,c160,8316,7243,
CV1,c161,8041,6799,
CV1,c162,8334,7000,
CV1,c163,10156,8769,
CV1,c164,8876,7708,
CV1,c165,8041,6799,
CV1,c166,8129,6798,
CV1,c167,8417,7290,
CV1,c168,8618,7264,
CV1,c169,9433,8060,
CV1,c170,9216,7782,
CV1,c171,8673,7284,
CV1,c172,8716,7314,
CV1,c173,6091,5223,
CV1,c174,9156,7693,
CV1,c175,9045,7583,
CV1,c176,7698,6507,
CV1,c177,8041,6799,
CV1,c178,9604,8074,
CV1,c179,10729,9277,
CV1,c180,11072,9350,
CV1,c181,11018,9317,
CV1,c182,10709,8900,
CV1,c183,10128,8440,
CV1,c184,10669,8989,
CV1,c185,9299,7909,
CV1,c186,11358,9622,
CV1,c187,9926,8585,
CV1,c188,12503,10667,
CV1,c189,12537,10711,
CV1,c190,13626,11641,
CV1,c191,13423,11425,
CV1,c192,9527,8289,
CV1,c193,10140,8807,
CV1,c194,10755,9359,
CV1,c195,12033,10244,
CV1,c196,11856,10060,
CV1,c197,13124,11146,
CV1,c198,13741,12071,
CV1,c199,13986,12369,
CV1,c200,12460,10560,
CV1,c201,14481,12312,
CV1,c202,11630,9927,
CV1,c203,13389,11747,
CV1,c204,9393,8502,
CV1,c205,11456,9963,
CV1,c206,9423,8239,
CV1,c207,10295,8930,
CV1,c208,9436,8400,
CV1,c209,8225,7140,
CV1,c210,9907,9099,
CV1,c211,13940,11870,
CV1,c212,13658,11620,
CV1,c213,10326,9227,
CV1,c214,13764,11749,
CV1,c215,13391,11387,
CV1,c216,12211,10337,
CV1,c217,10218,8926,
CV1,c218,9621,8353,
CV1,c219,9737,8427,
CV1,c220,9621,8353,
CV1,c221,9494,8264,
CV1,c222,13262,11266,
CV1,c223,9691,8442,
CV1,c224,13895,11847,
CV1,c225,10731,9309,
CV1,c226,11025,9563,
CV1,c227,10871,9512,
CV1,c228,11275,9849,
CV1,c229,7299,6025,
CV1,c230,11558,10047,
CV1,c231,11114,9653,
CV1,c232,12195,10616,
CV1,c233,7813,6461,
CV1,c234,12666,11018,
CV1,c235,10504,9152,
CV1,c236,12323,10734,
CV1,c237,14301,12239,
CV1,c238,12166,10595,
CV1,c239,15219,13019,
CV1,c240,8122,6774,
CV1,c241,15631,13417,
CV1,c242,12534,10890,
CV1,c243,12166,10575,
CV1,c244,8122,6774,
CV1,c245,12287,10671,
CV1,c246,12844,10889,
CV1,c247,16265,13783,
CV1,c248,12360,10729,
CV1,c249,12653,10978,
CV1,c250,12707,11023,
CV1,c251,17865,15106,
CV1,c252,17391,14708,
CV1,c253,12190,10644,
CV1,c254,12028,10498,
CV1,c255,6631,5536,
CV1,c256,19324,16093,
CV1,c257,19205,16020,
CV1,c258,6565,5499,
CV1,c259,19746,16445,
CV1,c260,12266,10702,
CV1,c261,12663,11034,
CV1,c262,8967,7522,
CV1,c263,11761,10246,
CV1,c264,5943,4980,
CV1,c265,10773,9334,
CV1,c266,10864,9494,
CV1,c267,11221,9775,
CV1,c268,10648,9311,
CV1,c269,5536,4617,
CV1,c270,11007,9598,
CV1,c271,10839,9430,
CV1,c272,4810,3963,
CV1,c273,9972,8666,
CV1,c274,9366,8154,
CV1,c275,4810,3963,
CV1,c276,9053,7833,
CV1,c277,8374,7216,
CV1,c278,7163,6109,
CV1,c279,5428,4506,
CV1,c280,10059,8699,
CV1,c281,6263,5378,
CV1,c282,4770,3926,
CV1,c283,6091,5223,
CV1,c284,7983,6876,
CV1,c285,8815,7609,
CV1,c286,8422,7279,
CV1,c287,11277,9790,
CV1,c288,7983,6876,
CV1,c289,8496,7333,
CV1,c290,4726,3921,
CV1,c291,8356,7194,
CV1,c292,8745,7547,
CV1,c293,4836,3959,
CV1,c294,8373,7137,
CV1,c295,7369,6297,
CV1,c296,4766,3947,
CV1,c297,7057,6058,
CV1,c298,11528,10048,
CV1,c299,5316,4504,
CV1,c300,7758,6691,
CV1,c301,191146,158116,
CV1,c302,191550,158379,
CV1,c303,191410,158293,
CV1,c304,192097,158803,
CV1,c305,190788,157651,
CV1,c306,191880,158681,
CV1,c307,190637,157445,
CV1,c308,192051,158807,
CV1,c309,192717,159156,
CV1,c310,193409,159674,
CV1,c311,195836,161795,
CV1,c312,193159,159472,
CV1,c313,193455,159764,
CV1,c314,194004,160165,
CV1,c315,193066,159445,
CV1,c316,193650,159936,
CV1,c317,193514,159821,
CV1,c318,193802,160057,
CV1,c319,190472,157351,
CV1,c320,146623,120972,
CV1,c321,145356,120213,
CV1,c322,145911,120631,
CV1,c323,146164,120884,
CV1,c324,146169,120924,
CV1,c325,146166,120613,
CV1,c326,144874,119428,
CV1,c327,5304,4438,
CV1,c328,6977,5790,
CV1,c329,6824,5917,
CV1,c330,6491,5616,
CV1,c331,7281,6297,
CV1,c332,6259,5384,
CV1,c333,7994,6934,
CV1,c334,6629,5712,
CV1,c335,6825,5880,
CV1,c336,5906,5087,
CV1,c337,5642,4718,
CV1,c338,11737,10190,
CV1,c339,4303,3664,
CV1,c340,6012,4977,
CV1,c341,4887,4198,
CV1,c342,4815,4123,
CV1,c343,4668,3993,
CV1,c344,11992,10393,
CV1,c345,13007,11235,
CV1,c346,5316,4504,
CV1,c347,11308,9826,
CV1,c348,3591,3012,
CV1,c349,4969,4263,
CV1,c350,8281,7199,
CV1,c351,4318,3702,
CV1,c352,4638,3950,
CV1,c353,4375,3738,
CV1,c354,10721,9306,
CV1,c355,1924,1649,
CV1,c356,1924,1649,
CV1,c357,4775,4042,
CV1,c358,9709,8376,
CV1,c359,3880,3267,
CV1,c360,2266,1895,
CV1,c361,1924,1649,
CV1,c362,4204,3515,
CV1,c363,9592,8305,
CV1,c364,3623,3011,
CV1,c365,9709,8376,
CV1,c366,284547,234724,
CV1,c367,282181,232777,
CV1,c368,281342,232052,
CV1,c369,7334,6395,
CV1,c370,7385,6159,
CV1,c371,281620,232274,
CV1,c372,281037,231807,
CV1,c373,281620,232274,
CV1,c374,281209,231943,
CV1,c375,280640,231462,
CV1,c376,280412,231281,
CV1,c377,279826,230779,
CV1,c378,283229,233629,
CV1,c379,283131,233549,
CV1,c380,283197,233611,
CV1,c381,281868,232500,
CV1,c382,281868,232500,
CV1,c383,281825,232459,
CV1,c384,281802,232440,
CV1,c385,281868,232500,
CV1,c386,282510,233042,
CV1,c387,282510,233042,
CV1,c388,283035,233504,
CV1,c389,283012,233497,
CV1,c390,283487,234048,
CV1,c391,283487,234048,
CV1,c392,284279,234554,
CV1,c393,284245,234531,
CV1,c394,284025,234486,
CV1,c395,284205,234719,
CV1,c396,284208,234650,
CV1,c397,285552,235739,
CV1,c398,285069,235219,
CV1,c399,285213,235302,
CV1,c400,282372,236103,
CV1,c401,282256,235975,
CV1,c402,281788,235539,
CV1,c403,286183,236263,
CV1,c404,286340,236338,
CV1,c405,281631,235402,
CV1,c406,281225,235103,
CV1,c407,281301,235228,
CV1,c408,281301,235228,
CV1,c409,280137,234219,
CV1,c410,282659,236255,
CV1,c411,282659,236255,
CV1,c412,283619,237084,
CV1,c413,284476,238058,
CV1,c414,285087,238488,
CV1,c415,281840,232482,
CV1,c416,281655,232326,
CV1,c417,3623,3011,
CV1,c418,9845,8490,
CV1,c419,9369,8078,
CV1,c420,9369,8078,
CV1,c421,4743,3985,
CV1,c422,10461,9041,
CV1,c423,5346,4485,
CV1,c424,11208,9719,
CV1,c425,10811,9384,
CV1,c426,4352,3649,
CV1,c427,4399,3677,
CV1,c428,12007,10422,
CV1,c429,12794,11084,
CV1,c430,3080,2583,
CV1,c431,13218,11412,
CV1,c432,3772,3151,
CV1,c433,3217,2698,
CV1,c434,12111,10494,
CV1,c435,11802,10272,
CV1,c436,3378,2803,
CV1,c437,1913,1586,
CV1,c438,6252,5282,
CV1,c439,6252,5282,
CV1,c440,11065,9622,
CV1,c441,5072,4261,
CV1,c442,5205,4399,
CV1,c443,2004,1676,
CV1,c444,1969,1657,
CV1,c445,2369,1983,
CV1,c446,13174,11354,
CV1,c447,8457,7342,
CV1,c448,74672,61496,
CV1,c449,53044,43344,
CV1,c450,82587,67280,
CV1,c451,83363,67922,
CV1,c452,83828,68314,
CV1,c453,81765,66611,
CV1,c454,84992,69235,
CV1,c455,81765,66611,
CV1,c456,97740,80143,
CV1,c457,96221,78693,
CV1,c458,98054,80263,
CV1,c459,97108,79466,
CV1,c460,97351,79642,
CV1,c461,97818,80027,
CV1,c462,120792,98724,
CV1,c463,121239,99089,
CV1,c464,121164,99026,
CV1,c465,122500,100284,
CV1,c466,122933,100595,
CV1,c467,62495,50072,
CV1,c468,61919,49579,
CV1,c469,61338,49100,
CV1,c470,61735,49450,
CV1,c471,60861,48739,
CV1,c472,61627,49329,
CV1,c473,62155,49780,
CV1,c474,61989,49647,
CV1,c475,62589,50143,
CV1,c476,62620,50171,
CV1,c477,63693,50991,
CV1,c478,63141,50570,
CV1,c479,63701,51051,
CV1,c480,60439,48457,
CV1,c481,63401,50887,
CV1,c482,3876169,3141465,
CV1,c483,60959,48821,
CV1,c484,2063873,1678898,
CV1,c485,51168,41077,
CV1,c486,51092,41020,
CV1,c487,50827,40695,
CV1,c488,50917,40770,
CV1,c489,50250,40224,
CV1,c490,51364,41104,
CV1,c491,50467,40476,
CV1,c492,49952,39961,
CV1,c493,49498,39681,
CV1,c494,49797,39888,
CV1,c495,50497,40524,
CV1,c496,50844,40883,
CV1,c497,50810,40787,
CV1,c498,50983,40928,
CV1,c499,50914,40890,
CV1,c500,50668,40668,
CV1,c501,50467,40476,
CV1,c502,49797,39888,
CV1,c503,9580,8173,
CV1,c504,142255,120420,
CV1,c505,142655,120674,
CV1,c506,142280,120364,
CV1,c507,141902,119972,
CV1,c508,142102,120162,
CV1,c509,141475,119666,
CV1,c510,141475,119666,
CV1,c511,153191,124364,
CV1,c512,153470,124543,
CV1,c513,154438,125281,
CV1,c514,153730,124743,
CV1,c515,154183,125121,
CV1,c516,154540,125365,
CV1,c517,154479,125326,
CV1,c518,153990,124993,
CV1,c519,154183,125121,
CV1,c520,167118,137454,
CV1,c521,168061,138184,
CV1,c522,175213,141680,
CV1,c523,174925,141428,
